AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
46,4076785,2046401,2030384,1563642,1498523,264097,292687,27828,26099,144079,162520,6077,5731,40678,44824,1598545,1536744,278663,310051,43156,42756,160228,180129,10613,10548,1607602,1617343,1174376,1135335,244857,271078,14246,14469,139847,158312,4331,4235,29945,33914,1199768,1164003,254649,283309,24442,26034,153366,173233,7865,8065,438799,413041,389266,363188,19240,21609,13582,11630,4232,4208,1746,1496,10733,10910,398777,372741,24014,26742,18714,16722,6862,6896,2748,2483
47,3920935,1965939,1954996,1499108,1442883,251002,278518,26733,24672,144599,161292,5737,5350,38760,42281,1532454,1478816,264362,294569,41329,40605,160206,178096,10211,9931,1541736,1551705,1122293,1087191,232474,257910,13718,13608,140536,157172,4117,3928,28598,31896,1146607,1114014,241351,269153,23472,24680,153676,171327,7605,7577,424203,403291,376815,355692,18528,20608,13015,11064,4063,4120,1620,1422,10162,10385,385847,364802,23011,25416,17857,15925,6530,6769,2606,2354
48,3903200,1957086,1946114,1493028,1436273,249679,277946,26319,24625,145964,161919,5552,5251,36544,40100,1524298,1470375,262441,292918,40436,39869,160544,177964,9608,9547,1538819,1548205,1120451,1084442,231889,257949,13417,13610,141986,157902,4025,3892,27051,30410,1143316,1110092,240420,268388,22993,24266,154273,171519,7229,7298,418267,397909,372577,351831,17790,19997,12902,11015,3978,4017,1527,1359,9493,9690,380982,360283,22021,24530,17443,15603,6271,6445,2379,2249
49,3888565,1947970,1940595,1491822,1439169,245819,274918,26025,24240,144047,158762,5515,5045,34742,38461,1521329,1471686,257655,289150,39711,39195,157943,174049,9573,9111,1539154,1549162,1126153,1091503,229162,256105,13323,13420,140276,154974,4047,3739,26193,29421,1148204,1116097,237328,266168,22682,24020,152172,168102,7276,6996,408816,391433,365669,347666,16657,18813,12702,10820,3771,3788,1468,1306,8549,9040,373125,355589,20327,22982,17029,15175,5771,5947,2297,2115
50,3847871,1923576,1924295,1472217,1425344,243899,273939,25001,24033,143349,158849,5179,5030,33931,37100,1501002,1456562,255251,287506,38393,38540,157119,173752,9074,9055,1532446,1545533,1122018,1088631,228019,255814,12936,13461,139865,155166,3844,3764,25764,28697,1143630,1112527,235753,265528,22303,23983,151708,167986,6997,6975,391130,378762,350199,336713,15880,18125,12065,10572,3484,3683,1335,1266,8167,8403,357372,344035,19498,21978,16090,14557,5411,5766,2077,2080
51,3992817,1996489,1996328,1532288,1484497,255128,285248,25781,24346,144114,160015,5229,5001,33949,37221,1561006,1515797,266090,298590,39669,39393,157777,174788,9137,9047,1604046,1615959,1180662,1145960,239411,267211,13496,13797,140526,156341,3929,3741,26022,28909,1202435,1169976,247004,276802,23394,24786,152344,169118,7038,7039,392443,380369,351626,338537,15717,18037,12285,10549,3588,3674,1300,1260,7927,8312,358571,345821,19086,21788,16275,14607,5433,5670,2099,2008
52,4201901,2105877,2096024,1639557,1581116,262153,293291,25672,24824,139146,154252,5270,4872,34079,37669,1668321,1612853,273062,306595,39899,40515,152685,168779,9221,9027,1721034,1723147,1294507,1249129,246716,275823,13986,14376,135519,150729,3915,3693,26391,29397,1316544,1273644,254364,285369,24313,26038,147253,163296,7133,7071,384843,372877,345050,331987,15437,17468,11686,10448,3627,3523,1355,1179,7688,8272,351777,339209,18698,21226,15586,14477,5432,5483,2088,1956
53,4338090,2176416,2161674,1701614,1640380,269593,299065,26330,24923,139122,154462,5151,5087,34606,37757,1730852,1671960,280719,312351,41121,41005,152417,168906,9240,9426,1792184,1794847,1357169,1314126,254094,281665,14529,14634,135575,150892,3862,3838,26955,29692,1379700,1338732,261994,291369,25401,26746,147056,163281,7196,7379,384232,366827,344445,326254,15499,17400,11801,10289,3547,3570,1289,1249,7651,8065,351152,333228,18725,20982,15720,14259,5361,5625,2044,2047
54,4137382,2069823,2067559,1626669,1578176,250839,280310,24641,23709,130448,145747,5140,4898,32086,34719,1653798,1607174,260789,292179,38672,38930,142794,159006,9026,8883,1706549,1718101,1300860,1266787,236317,264061,13694,14050,127096,142330,3905,3753,24677,27120,1321498,1289271,243124,272544,23928,25491,137729,153648,7059,7001,363274,349458,325809,311389,14522,16249,10947,9659,3352,3417,1235,1145,7409,7599,332300,317903,17665,19635,14744,13439,5065,5358,1967,1882
55,4018901,2008249,2010652,1577200,1534769,244854,273117,24252,22909,127432,142636,4565,4672,29946,32549,1602366,1561804,253979,284079,37703,37548,138847,154816,8190,8541,1660793,1676481,1265597,1236838,230699,257377,13525,13733,124396,139459,3429,3525,23147,25549,1284844,1257801,236934,265217,23511,24877,134246,150024,6379,6716,347456,334171,311603,297931,14155,15740,10727,9176,3036,3177,1136,1147,6799,7000,317522,304003,17045,18862,14192,12671,4601,4792,1811,1825
56,3969647,1975020,1994627,1561330,1531392,241657,273336,23037,22756,115891,131325,4630,4515,28475,31303,1585257,1557336,250193,284052,36170,37188,126572,142602,8041,8299,1642423,1671160,1262744,1242827,228067,258025,13102,13983,112950,128362,3498,3454,22062,24509,1281050,1262907,233881,265663,22896,25032,122184,137994,6334,6574,332597,323467,298586,288565,13590,15311,9935,8773,2941,2963,1132,1061,6413,6794,304207,294429,16312,18389,13274,12156,4388,4608,1707,1725
57,3995573,1980912,2014661,1568099,1552056,243960,277465,22871,22670,113580,127272,4620,4577,27782,30621,1591163,1577389,252419,287843,35953,37089,123786,138153,8104,8268,1656766,1698559,1276864,1269869,230699,262682,13260,14243,110740,124305,3537,3533,21666,23927,1294599,1289437,236465,270042,23230,25254,119516,133622,6450,6573,324146,316102,291235,282187,13261,14783,9611,8427,2840,2967,1083,1044,6116,6694,296564,287952,15954,17801,12723,11835,4270,4531,1654,1695
58,4115175,2034304,2080871,1612277,1605396,251381,286427,23722,23511,114307,129805,4643,4585,27974,31147,1635535,1631158,259672,296661,37233,38409,124441,140874,8145,8376,1712995,1766982,1324121,1325642,237911,271476,14035,14970,111510,126792,3611,3585,21807,24517,1342001,1345661,243591,278781,24303,26520,120259,136277,6515,6723,321309,313889,288156,279754,13470,14951,9687,8541,2797,3013,1032,1000,6167,6630,293534,285497,16081,17880,12930,11889,4182,4597,1630,1653
59,4260504,2094401,2166103,1671910,1685148,252735,291394,23640,23922,113575,129671,4509,4638,28032,31330,1695207,1710993,260741,301437,37557,39587,123661,140490,8026,8423,1786607,1858331,1395680,1410360,240067,276916,14383,15567,110860,126877,3535,3657,22082,24954,1413828,1430693,245584,284137,25135,27992,119567,136223,6437,6819,307794,307772,276230,274788,12668,14478,9257,8355,2715,2794,974,981,5950,6376,281379,280300,15157,17300,12422,11595,4094,4267,1589,1604
60,4267592,2095308,2172284,1678421,1697560,246659,284106,23212,23462,114966,131538,4278,4525,27772,31093,1701539,1723155,254403,293821,37246,39051,124889,142287,7691,8353,1801703,1876263,1415109,1433618,234334,270210,14437,15305,112391,128770,3332,3572,22100,24788,1433327,1453768,239726,277196,25430,27717,121016,138009,6185,6764,293605,296021,263312,263942,12325,13896,8775,8157,2575,2768,946,953,5672,6305,268212,269387,14677,16625,11816,11334,3873,4278,1506,1589
61,4269561,2089213,2180348,1680683,1713577,243292,282261,22634,23405,111139,125820,4322,4490,27143,30795,1703335,1738827,250695,291968,36226,39190,120875,136318,7751,8229,1807497,1894124,1427650,1458061,231690,269225,14179,15457,108637,123150,3442,3574,21899,24657,1445755,1478057,236847,276202,25040,28111,117162,132172,6356,6652,281716,286224,253033,255516,11602,13036,8455,7948,2502,2670,880,916,5244,6138,257580,260770,13848,15766,11186,11079,3713,4146,1395,1577
62,4247928,2073695,2174233,1685558,1724441,235087,276076,22014,23142,100004,116380,4137,4177,26895,30017,1707950,1749030,242291,285491,35834,38860,109608,126428,7459,7807,1809542,1904181,1448340,1483297,224200,263753,14184,15729,97737,113862,3347,3346,21734,24194,1466254,1502897,229279,270568,25254,28477,106111,122538,6150,6360,264153,270052,237218,241144,10887,12323,7830,7413,2267,2518,790,831,5161,5823,241696,246133,13012,14923,10580,10383,3497,3890,1309,1447
63,4229763,2057583,2172180,1665772,1716349,236240,277574,21685,22963,103232,121709,4099,4228,26555,29357,1687982,1740325,243306,286597,35422,38435,112568,131575,7362,7783,1798696,1905760,1433340,1478152,225631,265487,13923,15741,100914,119167,3307,3422,21581,23791,1451222,1497377,230652,272092,24997,28312,109139,127680,6020,6396,258887,266420,232432,238197,10609,12087,7762,7222,2318,2542,792,806,4974,5566,236760,242948,12654,14505,10425,10123,3429,3895,1342,1387
64,4104649,1989959,2114690,1618397,1677922,224709,268010,20539,21771,97176,115093,3891,3887,25247,28007,1639445,1700889,231250,276642,33687,36780,106250,124262,6968,7217,1752558,1867547,1405281,1457348,214908,256551,13511,14978,95061,112765,3155,3161,20642,22744,1422375,1475780,219560,262877,24192,27250,103012,120721,5733,5946,237401,247143,213116,220574,9801,11459,7028,6793,2115,2328,736,726,4605,5263,217070,225109,11690,13765,9495,9530,3238,3541,1235,1271
65,4035211,1946717,2088494,1587943,1662148,216106,259723,18972,20876,96246,115209,3617,3788,23833,26750,1607761,1684023,222359,267833,31707,35432,104513,123968,6428,6858,1727961,1854592,1391866,1453079,206668,248835,12680,14585,94275,113060,2946,3108,19526,21925,1407971,1470841,211104,254816,23128,26627,101558,120662,5306,5711,218756,233902,196077,209069,9438,10888,6292,6291,1971,2149,671,680,4307,4825,199790,213182,11255,13017,8579,8805,2955,3306,1122,1147
66,3994859,1917886,2076973,1570803,1660899,207813,253844,18834,20353,93634,112243,3460,3641,23342,25993,1590141,1682178,213962,261672,31402,34905,101669,120377,6280,6674,1708489,1850070,1382847,1457741,199102,243425,12572,14371,91819,110312,2854,2954,19295,21267,1398691,1474959,203564,249169,22965,26434,98969,117350,5240,5499,209397,226903,187956,203158,8711,10419,6262,5982,1815,1931,606,687,4047,4726,191450,207219,10398,12503,8437,8471,2700,3027,1040,1175
67,3841987,1832964,2009023,1504154,1604963,195763,245642,17621,19538,90325,110287,3241,3447,21860,25146,1522382,1625597,201481,253209,29561,33769,97680,118099,5831,6365,1637761,1794670,1329123,1413360,187511,235665,11802,13865,88592,108237,2657,2885,18076,20658,1344072,1430137,191606,241222,21691,25743,95119,115006,4869,5343,195203,214353,175031,191603,8252,9977,5819,5673,1733,2050,584,562,3784,4488,178310,195460,9875,11987,7870,8026,2561,3093,962,1022
68,3698500,1754229,1944271,1443784,1558755,182111,230989,16726,18522,87738,109034,3048,3389,20822,23582,1461059,1577936,187490,238126,28161,31805,94737,116440,5536,6127,1569562,1738014,1278052,1373818,174243,221725,11341,13198,86081,107142,2543,2781,17302,19350,1292282,1389364,178105,226971,20885,24272,92296,113575,4669,5086,184667,206257,165732,184937,7868,9264,5385,5324,1657,1892,505,608,3520,4232,168777,188572,9385,11155,7276,7533,2441,2865,867,1041
69,3599919,1699362,1900557,1405797,1531061,171596,221340,15558,17485,84043,105055,2908,3213,19460,22403,1421930,1549289,176603,227998,26440,30242,90511,111961,5208,5884,1528903,1706632,1252272,1356523,164443,212900,10833,12741,82568,103313,2431,2662,16356,18493,1265728,1371371,168112,217822,20045,23431,88327,109345,4410,4929,170459,193925,153525,174538,7153,8440,4725,4744,1475,1742,477,551,3104,3910,156202,177918,8491,10176,6395,6811,2184,2616,798,955
70,3419132,1605301,1813831,1337947,1471509,155030,205086,14260,16095,77449,97383,2606,2868,18009,20890,1352964,1488533,159503,211215,24552,28125,83287,103835,4731,5354,1451015,1635635,1199060,1310979,148449,197317,9990,11774,76150,95838,2191,2389,15175,17338,1211672,1324958,151684,201851,18740,21913,81344,101486,4012,4522,154286,178196,138887,160530,6581,7769,4270,4321,1299,1545,415,479,2834,3552,141292,163575,7819,9364,5812,6212,1943,2349,719,832
71,3312865,1546065,1766800,1292806,1436004,144710,196534,13236,15342,76224,96649,2542,2830,16547,19441,1306519,1451885,148865,202184,22649,26705,81626,102533,4556,5170,1403235,1598207,1164054,1283923,138664,189165,9374,11315,74977,95150,2185,2373,13981,16281,1175549,1297083,141703,193440,17431,21014,79786,100267,3909,4347,142830,168593,128752,152081,6046,7369,3862,4027,1247,1499,357,457,2566,3160,130970,154802,7162,8744,5218,5691,1840,2266,647,823
72,3127078,1451003,1676075,1219960,1367550,133948,186042,12271,14237,67076,87580,2194,2563,15554,18103,1232812,1382397,137800,191333,21412,25083,71974,92731,4104,4679,1318258,1519267,1099771,1226176,128553,179106,8860,10502,65977,86196,1882,2158,13215,15129,1110623,1238413,131428,183096,16672,19791,70354,90683,3532,3967,132745,156808,120189,141374,5395,6936,3411,3735,1099,1384,312,405,2339,2974,122189,143984,6372,8237,4740,5292,1620,2048,572,712
73,2946132,1356861,1589271,1131199,1287492,128396,178516,11805,13609,68382,90033,2203,2380,14876,17241,1143549,1301435,132137,183664,20493,23735,73046,95249,4008,4479,1231803,1437042,1018247,1150178,123135,171785,8607,10001,67313,88670,1864,2029,12637,14379,1028677,1161690,125902,175637,16080,18630,71464,93174,3433,3788,125058,152229,112952,137314,5261,6731,3198,3608,1069,1363,339,351,2239,2862,114872,139745,6235,8027,4413,5105,1582,2075,575,691
74,2838551,1302817,1535734,1093581,1252945,117003,166784,11066,12666,65322,84769,2105,2361,13740,16209,1104979,1266124,120359,171565,19299,22389,69509,89384,3810,4317,1188130,1395270,989745,1125855,112346,160665,8126,9489,64384,83584,1793,2001,11736,13676,999430,1136864,114885,164315,15245,17905,68095,87605,3251,3687,114687,140464,103836,127090,4657,6119,2940,3177,938,1185,312,360,2004,2533,105549,129260,5474,7250,4054,4484,1414,1779,559,630
75,2759014,1262243,1496771,1066471,1231164,108989,156875,10313,12007,61680,79059,1939,2248,12851,15418,1077089,1243816,112188,161325,18025,21272,65588,83481,3496,4057,1156368,1364588,970533,1111467,104671,151279,7705,9049,60791,77908,1658,1931,11010,12954,979578,1121995,107117,154634,14401,17056,64264,81725,3011,3464,105875,132183,95938,119697,4318,5596,2608,2958,889,1151,281,317,1841,2464,97511,121821,5071,6691,3624,4216,1324,1756,485,593
76,2813591,1288354,1525237,1106113,1278309,100653,145281,9990,11343,57030,73048,1817,2010,12751,15246,1116792,1290944,103754,149585,17863,20754,60659,77228,3357,3741,1187663,1398919,1014640,1163549,96773,139998,7452,8642,56224,72002,1569,1729,11005,12999,1023822,1174233,99144,143324,14380,16844,59415,75672,2909,3234,100691,126318,91473,114760,3880,5283,2538,2701,806,1046,248,281,1746,2247,92970,116711,4610,6261,3483,3910,1244,1556,448,507
77,2358512,1073805,1284707,919924,1073102,82546,122098,8473,9772,50451,64985,1607,1716,10804,13034,929008,1083869,85117,125712,15015,17526,53584,68763,2966,3295,985973,1171765,840108,970582,79104,117261,6324,7448,49802,64016,1389,1470,9246,10988,847871,979579,81026,119992,12049,14134,52548,67316,2543,2845,87832,112942,79816,102520,3442,4837,2149,2324,649,969,218,246,1558,2046,81137,104290,4091,5720,2966,3392,1036,1447,423,450
78,1907797,850021,1057776,720480,874830,69378,106554,6934,8356,42942,55476,1378,1573,8909,10987,727853,883869,71556,109618,12212,14831,45685,58720,2606,2961,774071,956789,651451,783013,66413,102316,5121,6250,42321,54656,1191,1346,7574,9208,657688,790528,68024,104597,9677,11793,44725,57470,2237,2535,75950,100987,69029,91817,2965,4238,1813,2106,621,820,187,227,1335,1779,70165,93341,3532,5021,2535,3038,960,1250,369,426
79,1836891,812167,1024724,692270,852013,63700,100143,6424,7813,40138,52648,1198,1439,8437,10668,699336,860808,65733,103213,11459,14156,42657,55717,2342,2809,744218,931883,630433,767456,61021,96417,4835,5879,39624,51872,1043,1239,7262,9020,636496,774838,62545,98737,9265,11371,41841,54541,2031,2429,67949,92841,61837,84557,2679,3726,1589,1934,514,776,155,200,1175,1648,62840,85970,3188,4476,2194,2785,816,1176,311,380
80,1821188,797390,1023798,687472,863593,58942,95027,5856,7415,36307,46415,1102,1226,7711,10122,693976,872016,60666,97819,10620,13540,38493,49224,2160,2489,735727,936624,631189,784145,56532,91503,4495,5646,35812,45743,974,1058,6725,8529,636862,791207,57860,93574,8735,10946,37740,48167,1897,2151,61663,87174,56283,79448,2410,3524,1361,1769,495,672,128,168,986,1593,57114,80809,2806,4245,1885,2594,753,1057,263,338
81,1645755,712553,933202,612277,784481,52630,86885,5316,6648,34409,45071,922,1173,6999,8944,618103,791887,54321,89368,9624,12105,36429,47543,1795,2244,657486,852852,562040,711168,50440,83613,4142,5051,34001,44442,798,989,6065,7589,567092,717425,51732,85478,7968,9810,35767,46590,1543,1911,55067,80350,50237,73313,2190,3272,1174,1597,408,629,124,184,934,1355,51011,74462,2589,3890,1656,2295,662,953,252,333
82,1401394,597030,804364,511181,673729,44475,76165,4662,5785,29821,39719,823,994,6068,7972,516236,680314,45917,78378,8327,10633,31638,41956,1633,1974,548583,734050,466995,609375,42583,73411,3610,4477,29448,39162,726,832,5221,6793,471347,614971,43659,75090,6835,8712,31037,41092,1409,1663,48447,70314,44186,64354,1892,2754,1052,1308,373,557,97,162,847,1179,44889,65343,2258,3288,1492,1921,601,864,224,311
83,1257829,526030,731799,447123,609738,39929,70637,4170,5399,28489,37878,779,943,5540,7204,451722,615697,41229,72661,7469,9680,30238,39967,1524,1863,481063,664556,406061,548266,38182,67916,3209,4154,28129,37351,684,782,4798,6087,410051,553262,39164,69433,6105,7857,29674,39161,1321,1564,44967,67243,41062,61472,1747,2721,961,1245,360,527,95,161,742,1117,41671,62435,2065,3228,1364,1823,564,806,203,299
84,1116401,459248,657153,390677,548114,34552,63084,3542,4757,25011,33624,638,904,4828,6670,394715,553605,35718,64930,6371,8725,26510,35567,1311,1791,419793,596686,354680,492838,32971,60623,2737,3660,24696,33144,548,755,4161,5666,358146,497511,33852,61996,5219,7120,26019,34816,1123,1496,39455,60467,35997,55276,1581,2461,805,1097,315,480,90,149,667,1004,36569,56094,1866,2934,1152,1605,491,751,188,295
85,1034847,418300,616547,357267,517480,30341,57298,3242,4456,22542,30639,580,781,4328,5893,360871,522370,31364,58928,5849,7916,23880,32378,1149,1543,382913,560440,324897,466165,28995,55023,2537,3435,22269,30225,494,645,3721,4947,327998,470254,29750,56234,4821,6413,23435,31713,972,1266,35387,56107,32370,51315,1346,2275,705,1021,273,414,86,136,607,946,32873,52116,1614,2694,1028,1503,445,665,177,277
86,905180,358424,546756,305197,457155,26149,51369,2737,3927,19989,28251,512,717,3840,5337,308445,461576,27094,52897,4990,7010,21185,29829,1031,1448,327457,496804,276812,411472,24991,49350,2133,3036,19763,27855,438,596,3320,4495,279626,415179,25699,50483,4124,5708,20817,29213,864,1201,30967,49952,28385,45683,1158,2019,604,891,226,396,74,121,520,842,28819,46397,1395,2414,866,1302,368,616,167,247
87,798409,308718,489691,263006,410356,22164,45527,2370,3454,17424,25053,429,610,3325,4691,265770,414212,22944,46876,4289,6187,18532,26455,884,1236,281582,444631,238077,368994,21108,43750,1876,2667,17240,24722,374,528,2907,3970,240491,372255,21696,44763,3577,5018,18228,25938,767,1042,27136,45060,24929,41362,1056,1777,494,787,184,331,55,82,418,721,25279,41957,1248,2113,712,1169,304,517,117,194
88,714490,267760,446730,227915,373608,19371,41738,2056,3184,15176,23285,387,547,2855,4368,230272,377203,20061,42918,3704,5708,16094,24605,822,1110,244110,405703,206177,335940,18474,40138,1624,2453,15010,22974,344,457,2481,3741,208235,339006,19004,41043,3085,4667,15817,24121,711,933,23650,41027,21738,37668,897,1600,432,731,166,311,43,90,374,627,22037,38197,1057,1875,619,1041,277,484,111,177
89,624840,226004,398836,192655,334984,15952,36599,1703,2744,12928,20241,339,472,2427,3796,194717,338135,16514,37644,3071,4948,13717,21393,663,939,206361,362928,174514,301893,15263,35256,1348,2112,12784,19974,297,406,2155,3287,176349,304615,15711,36074,2585,4054,13485,20993,577,812,19643,35908,18141,33091,689,1343,355,632,144,267,42,66,272,509,18368,33520,803,1570,486,894,232,400,86,127
90,521835,183704,338131,156438,283039,12645,30770,1413,2285,10919,18336,289,399,2000,3302,158115,285770,13114,31660,2544,4173,11604,19335,571,847,167984,307883,141952,255135,12088,29622,1119,1783,10809,18120,253,353,1763,2870,143434,257500,12453,30318,2129,3458,11424,19009,491,743,15720,30248,14486,27904,557,1148,294,502,110,216,36,46,237,432,14681,28270,661,1342,415,715,180,326,80,104
91,462989,157728,305261,134420,256123,10800,27369,1197,2085,9379,16439,235,362,1697,2883,135853,258536,11199,28156,2130,3742,9942,17269,454,721,144406,278570,122090,231457,10332,26364,948,1645,9283,16254,214,320,1539,2530,123388,233564,10661,27009,1804,3135,9801,16989,416,638,13322,26691,12330,24666,468,1005,249,440,96,185,21,42,158,353,12465,24972,538,1147,326,607,141,280,38,83
92,380892,125561,255331,108274,216760,7561,20808,906,1653,7309,13434,185,282,1326,2394,109402,218762,7867,21454,1631,3035,7760,14122,361,579,114906,233573,98353,196589,7239,20053,720,1290,7248,13293,162,248,1184,2100,99358,198335,7497,20568,1367,2527,7658,13914,314,514,10655,21758,9921,20171,322,755,186,363,61,141,23,34,142,294,10044,20427,370,886,264,508,102,208,47,65
93,328056,104176,223880,88988,188846,6517,18450,783,1460,6576,12697,165,262,1147,2165,89958,190662,6776,19037,1426,2679,6956,13341,313,523,95218,204382,80675,170756,6214,17777,628,1141,6522,12582,149,228,1030,1898,81550,172339,6423,18237,1210,2232,6865,13161,285,462,8958,19498,8313,18090,303,673,155,319,54,115,16,34,117,267,8408,18323,353,800,216,447,91,180,28,61
94,253023,76486,176537,65235,148853,4695,14700,596,1128,4931,9939,126,224,903,1693,66001,150247,4906,15187,1102,2081,5223,10428,250,443,69966,161750,59187,135132,4485,14178,483,903,4892,9837,115,200,804,1500,59869,136363,4657,14573,939,1764,5153,10278,224,395,6520,14787,6048,13721,210,522,113,225,39,102,11,24,99,193,6132,13884,249,614,163,317,70,150,26,48
95,204671,59175,145496,50513,122721,3506,11821,471,937,3893,8352,82,176,710,1489,51102,123957,3675,12244,882,1791,4124,8778,170,370,54279,133717,45952,111850,3351,11379,384,744,3868,8280,75,152,649,1312,46490,112929,3497,11724,765,1516,4082,8663,153,324,4896,11779,4561,10871,155,442,87,193,25,72,7,24,61,177,4612,11028,178,520,117,275,42,115,17,46
96,157493,43248,114245,36639,96260,2580,9258,334,755,3079,6681,63,129,553,1162,37104,97223,2707,9560,636,1451,3262,7004,138,282,39877,105431,33492,88091,2483,8939,280,606,3060,6626,56,114,506,1055,33918,88962,2593,9192,559,1249,3228,6921,124,252,3371,8814,3147,8169,97,319,54,149,19,55,7,15,47,107,3186,8261,114,368,77,202,34,83,14,30
97,115518,30018,85500,25299,71821,1774,6844,251,582,2241,5239,40,115,413,899,25649,72578,1870,7106,479,1084,2375,5488,100,228,27687,79043,23137,65848,1697,6607,216,480,2227,5193,36,106,374,809,23454,66526,1775,6828,425,937,2348,5422,87,208,2331,6457,2162,5973,77,237,35,102,14,46,4,9,39,90,2195,6052,95,278,54,147,27,66,13,20
98,84520,20832,63688,17301,53149,1256,5089,178,417,1765,4219,32,83,300,731,17550,53753,1333,5305,342,834,1867,4418,74,173,19267,59029,15851,48840,1211,4918,150,346,1755,4190,28,76,272,659,16077,49388,1275,5104,298,731,1847,4362,65,154,1565,4659,1450,4309,45,171,28,71,10,29,4,7,28,72,1473,4365,58,201,44,103,20,56,9,19
99,60371,14103,46268,11622,38567,822,3642,129,338,1301,3121,21,63,208,537,11790,39005,878,3808,248,650,1373,3268,48,131,13103,43068,10698,35605,791,3527,111,285,1295,3100,20,57,188,494,10853,36010,837,3671,221,576,1360,3233,42,120,1000,3200,924,2962,31,115,18,53,6,21,1,6,20,43,937,2995,41,137,27,74,13,35,6,11
100,103096,21243,81853,16574,65958,1277,6681,225,650,2688,7269,46,140,433,1155,16926,66882,1407,7066,456,1302,2837,7586,116,305,19770,76682,15228,61181,1226,6493,202,579,2672,7235,41,129,401,1065,15556,62033,1343,6838,418,1187,2810,7524,101,279,1473,5171,1346,4777,51,188,23,71,16,34,5,11,32,90,1370,4849,64,228,38,115,27,62,15,26